,filename, H,C,N,O,F,Cl,Br,V,Cu,Zn,Zr, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
43,hMOF-5050029.cif,52,96,4,38,0,0,0,0,0,4,0,70.0,4.166666666666666,9.5,0.2164948453608247,0.7364948453608248,0.1052631578947368,4.94453,3.75439,1.0048,1152.87,1147.37,0.603437,0.0206011,0.0154558,2.8044195856,3.3913923545,2.6191909673,2.9039699232,0.1852286183,0.4874224313000002,0.8285820634150726,1.206881061217296,0.1534771107545369,0.588260901148459
44,hMOF-5043307.cif,8,22,2,8,0,0,12,0,0,2,0,12.5,9.090909090909092,4.0,0.4074074074074074,1.28,0.25,6.62171,5.13361,1.50808,1643.29,1089.65,0.578355,0.000507091,0.000299205,1.6821535747,1.2655220848,0.9923865054,0.6181289099,0.6897670693000001,0.6473931748999999,1.331884262565515,0.75081598912639,0.9186899044366074,0.4860731469662175
45,hMOF-5041851.cif,22,26,2,8,0,0,14,0,0,2,0,8.5,7.692307692307693,4.0,0.3243243243243243,1.014054054054054,0.25,6.0933,3.2807,2.71665,0.0,0.0,0.348494,0.434858,0.136029,0.4341066069,0.2940264172,0.4428766523,0.1653664445,-0.008770045399999982,0.1286599727,1.479382975948352,0.6759574878566887,-0.01297425586305413,0.08696867193400216
46,hMOF-5046022.cif,16,40,16,8,0,0,0,0,0,2,0,29.0,5.0,4.0,0.2926829268292683,0.928780487804878,2.0,5.4316,2.75697,1.5367,0.0,0.0,0.240512,0.106384,0.0410195,0.7399493619,0.2809324011,0.7384179314,0.2816357247,0.001531430500000042,-0.0007033235999999721,2.639190516364754,0.3789040593315747,0.004041736852071843,-0.0002664921670636861
47,hMOF-5078337.cif,22,88,12,16,0,0,34,0,4,0,0,58.0,4.545454545454546,4.0,0.3522727272727273,1.091818181818182,0.75,6.21405,4.57358,1.47193,2040.06,1385.98,0.693293,0.00459411,0.00296435,2.509697782,1.9009712541,2.3450611158,1.6277427819,0.1646366661999998,0.2732284721999998,1.322867814727414,0.7559334265049427,0.2177925468400006,0.2065425352088563
48,hMOF-5077054.cif,20,36,6,21,0,0,0,0,2,0,0,25.5,5.555555555555555,10.5,0.3176470588235294,1.064470588235294,0.2857142857142857,11.23563,7.74297,0.603137,2057.56,3411.43,0.748627,0.000180895,0.000126195,5.8429734226,4.3151534369,0.7935490853,0.560554391,5.0494243373,3.7545990459,1.356776275921401,0.737041189285897,6.850939147908784,2.76729414608183
49,hMOF-37472.cif,9,29,7,8,0,0,0,0,2,0,0,23.75,6.896551724137931,4.0,0.2727272727272727,0.8872727272727272,0.875,5.52026,4.69511,1.3627,1527.79,1121.15,0.778052,4.89709,1.62677,2.6082824738,1.8714423085,2.6017789939,1.4868280331,0.006503479900000109,0.3846142754000001,1.396525122184637,0.7160630225080821,0.009082273061972984,0.27540806054268
50,hMOF-5068790.cif,32,100,4,16,0,0,32,0,4,0,0,68.0,4.0,4.0,0.2765957446808511,0.861276595744681,0.25,3.91971,2.47628,2.20377,0.0,0.0,0.2618,3.40258e-05,0.000127069,0.1528856562,0.5668874916,0.0832301903,0.2796347315,0.06965546589999999,0.2872527600999999,0.2702342803666063,3.700492767399369,0.01882329470108719,1.062976761165556
51,hMOF-5064544.cif,4,12,2,8,0,0,2,0,2,0,0,9.5,16.66666666666666,4.0,0.4,1.317333333333334,0.25,6.01355,5.03098,1.14664,2272.14,1981.57,0.625652,0.00026201,0.000188809,3.108476616,2.3927387794,1.9899840972,1.4212399707,1.1184925188,0.9714988087,1.301735921446163,0.7682049665565424,1.455981889590758,0.7463102098471043
52,hMOF-24748.cif,11,32,2,8,0,7,0,0,0,2,0,23.5,6.25,4.0,0.2741935483870967,0.8987096774193548,0.25,7.31846,6.37332,1.80035,1188.46,660.128,0.863033,15.2805,4.27739,1.4948049014,1.6639833156,1.5783238125,1.3517345437,-0.08351891110000009,0.3122487719,0.9001318291029249,1.110948382968086,-0.07517803021312766,0.3468922682260758
