filename, H,C,N,O, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
hMOF-26201.cif,24,28,2,8,16.5,7.142857143,4,0.15625,0.525,0.25,5.3642,4.24674,1.10422,1490.37,1349.7,0.662173,1.02596,0.506483,3.171802371,2.562814565,3.171403288,2.29862161,0.000399083,0.264192955,1.240107999,0.80638138,0.000494906,0.21304028
hMOF-7002617.cif,24,102,2,36,73.5,5.882352941,6,0.352941176,1.163529412,0.055555556,11.05398,4.68959,1.45551,715.962,491.898,0.690325,0.0549093,0.0253733,2.185545755,1.878878144,2.158382855,1.467579987,0.027162899,0.411298157,1.165552557,0.857962169,0.031659787,0.352878259
hMOF-5074384.cif,38,32,2,8,13.5,6.25,4,0.12195122,0.409756098,0.25,4.54008,3.77151,1.165,606.147,520.3,0.756313,0.613561,0.660243,2.182094007,3.577172126,2.230358537,3.425010446,-0.04826453,0.152161679,0.611229338,1.636047122,-0.029500697,0.248943678
hMOF-5038059.cif,16,60,24,16,47,6.666666667,4,0.333333333,1.066666667,1.5,4.86744,4.17609,0.906228,1596.33,1761.51,0.642012,0.00210317,0.00174732,3.665357961,3.331607054,3.273749981,2.603387534,0.39160798,0.72821952,1.102384745,0.907124309,0.431702663,0.660585629
hMOF-5079417.cif,62,75,6,33,43.5,2.666666667,16.5,0.219101124,0.740224719,0.181818182,18.53609,17.57729,0.559319,1327.46,2373.35,0.809758,0.00123758,0.000783696,6.223529513,4.574817959,2.327039068,1.569661862,3.896490444,3.005156097,1.363118177,0.733612109,5.311376951,2.204618901
hMOF-5026837.cif,46,152,8,42,115,5.263157895,5.25,0.269503546,0.871489362,0.19047619,13.32086,8.47028,0.620627,2240.81,3610.56,0.855445,6.76E-05,5.11E-05,6.51740273,4.890097023,0.368162127,0.276813558,6.149240603,4.613283465,1.33545007,0.748811223,8.212003796,3.454478432
hMOF-5070382.cif,14,38,2,8,27.5,5.263157895,4,0.25,0.908888889,0.25,8.18967,5.6628,0.972048,1564.96,1609.96,0.594666,0.00123243,0.000726642,3.247336685,2.511636218,2.517568396,1.639274816,0.729768289,0.872361402,1.295511149,0.771896097,0.945422954,0.673372362
hMOF-15796.cif,40,55,0,13,36,7.272727273,3.25,0.116071429,0.399285714,0,14.3465,11.66258,0.345377,1877.67,5436.56,0.883212,0.000082159,6.54E-05,5.299541245,4.128260873,0.423812514,0.336619499,4.875728731,3.791641373,1.286298361,0.777424609,6.271641875,2.947715312
hMOF-5024450.cif,39,120,12,39,88,10,3.25,0.296296296,0.958024691,0.307692308,5.95577,3.21989,1.66678,0,0,0.428769,0.0271778,0.0124968,0.971081075,0.820480321,0.908994625,0.580681602,0.06208645,0.239798719,1.18592683,0.843222343,0.073629987,0.202203638
hMOF-6005137.cif,30,104,4,28,78,3.846153846,7,0.28125,0.904166667,0.142857143,24.38786,23.5962,0.607281,1235.91,2035.15,0.901041,0.000508878,0.000345476,4.369162439,3.283784364,1.265577938,0.877888554,3.103584501,2.40589581,1.333196405,0.75007703,4.137687698,1.804607184
hMOF-7000566.cif,48,78,4,56,54,7.692307692,9.333333333,0.3125,1.066666667,0.071428571,12.20829,5.1627,0.783527,1915.4,2444.58,0.667794,0.000164067,0.000114873,4.205614083,3.143260407,0.863263612,0.590961211,3.342350471,2.552299196,1.340663017,0.745899594,4.480965665,1.903758935
hMOF-7001038.cif,19,72,0,32,50,8.333333333,5.333333333,0.378205128,1.252564103,0,11.4798,3.75562,1.01977,1351.02,1324.82,0.636073,0.000322275,0.000209254,2.833304836,2.152748837,1.311210735,0.847041506,1.522094101,1.305707331,1.318774414,0.758279801,2.007298756,0.990091495
hMOF-5000046.cif,8,44,0,26,37,18.18181818,3.25,0.361702128,1.203404255,0,4.86759,3.81501,1.55217,576.749,371.577,0.402443,0.0010324,0.000754893,0.973525772,0.865577543,0.784272106,0.648593623,0.189253665,0.21698392,1.126969197,0.887335699,0.213283051,0.192537578
hMOF-5058102.cif,104,158,4,12,106,1.265822785,6,0.057142857,0.190857143,0.333333333,11.99408,9.7368,0.595812,1539.62,2584.07,0.664684,0.000520891,0.000381114,5.173022534,3.876788034,1.354174099,0.975724268,3.818848435,2.901063766,1.337035341,0.747923386,5.10593532,2.169773436
hMOF-5041940.cif,6,30,2,8,18.5,6.666666667,4,0.424242424,1.316363636,0.25,5.41934,3.38239,3.19281,0,0,0.440041,3.70753,1.22514,0.598416114,0.359550471,0.597845894,0.355557158,0.00057022,0.003993313,1.667684879,0.599633667,0.000950948,0.002394525
hMOF-15978.cif,24,108,4,26,80,7.407407407,3.25,0.306930693,1.003564356,0.153846154,8.12405,3.6751,1.09084,0,0,0.627151,0.00703633,0.00377114,2.719908424,2.533299105,2.27501393,1.725526797,0.444894494,0.807772308,1.075816957,0.929526155,0.478625041,0.750845488
hMOF-5057802.cif,17,80,6,16,63.5,2.5,8,0.272058824,0.865294118,0.375,20.27555,16.08974,0.423906,1496.46,3530.16,0.919875,5.13E-05,4.14E-05,4.01054631,3.0217252,0.289341038,0.223804915,3.721205271,2.797920285,1.329900478,0.751935966,4.948832668,2.103856891
hMOF-5035626.cif,10,52,12,8,45,3.846153846,4,0.238095238,0.761904762,1.5,8.56839,5.51352,0.669694,2386.67,3563.82,0.761178,0.000669327,0.000420765,5.957355752,4.530069496,3.435314018,2.26128623,2.522041734,2.268783265,1.317708186,0.758893366,3.323315037,1.721764568
hMOF-7001285.cif,26,70,0,32,49,8.571428571,5.333333333,0.328947368,1.098421053,0,6.66943,2.26731,1.62518,0,0,0.303327,0.00667436,0.00318729,0.705696432,0.570086629,0.606254443,0.354707788,0.09944199,0.215378842,1.240359678,0.806217759,0.123343834,0.173642247
hMOF-7002886.cif,22,96,2,36,69.5,6.25,6,0.360824742,1.157938144,0.055555556,11.05392,5.13501,1.70949,940.795,550.337,0.672166,0.00876369,0.00442879,1.94066099,1.469585417,1.795563836,1.175720551,0.145097154,0.293864866,1.323199766,0.755743785,0.19199252,0.222086546
hMOF-34949.cif,8,40,2,8,28.5,5,4,0.342105263,1.065263158,0.25,10.01668,9.30185,1.5955,1778.97,1115,0.84007,0.00559392,0.00331247,2.794573932,1.960195964,2.591335,1.570575411,0.203238932,0.389620553,1.428521187,0.700024619,0.29033112,0.272743979
hMOF-24848.cif,13,40,2,8,29.5,5,4,0.256756757,0.838378378,0.25,7.32233,5.4847,1.36573,1279.26,936.681,0.659697,0.209737,0.0791929,2.106332944,1.683580745,2.102650921,1.420203224,0.003682023,0.263377521,1.253613451,0.797694057,0.004615834,0.210094683
hMOF-5018334.cif,14,100,0,26,79,8,3.25,0.314606742,1.001348315,0,8.04368,4.47827,1.45573,1085.66,745.781,0.540065,0.0010657,0.000642683,1.379754032,1.126603726,1.056262225,0.759387754,0.323491807,0.367215971,1.227159636,0.814889906,0.396976088,0.299240588
hMOF-5042348.cif,15,24,2,8,11.5,8.333333333,4,0.338709677,1.102580645,0.25,8.47544,4.65866,1.12769,1559.42,1382.84,0.536578,0.000224314,0.000141045,2.251120653,1.68618812,1.149390841,0.743487102,1.101729812,0.942701018,1.337714148,0.747543862,1.473799557,0.70471036
hMOF-7002904.cif,32,108,2,36,77.5,5.555555556,6,0.317757009,1.165046729,0.055555556,15.53441,8.02614,0.635251,2109.64,3320.95,0.776039,0.000106452,7.69E-05,4.997993006,3.666404976,0.565780069,0.402227417,4.432212937,3.264177559,1.365921633,0.732106422,6.054055535,2.389725354
hMOF-5037809.cif,16,56,4,16,48,7.142857143,4,0.208333333,0.7,0.25,4.71205,4.38609,1.00188,1484.37,1481.58,0.615104,0.0101424,0.00818228,3.388815903,3.153466888,3.386314016,2.84156937,0.002501887,0.311897517,1.076788167,0.928687768,0.002694002,0.289655409
